ppid	session	object	feedback	eye	vertical	symmetry	model	efrc_errX	efrc_errY	efrc_errZ	efrc_err	first_gaze_errX	first_gaze_errY	first_gaze_errZ	first_gaze_err	final_gaze_errX	final_gaze_errY	final_gaze_errZ	final_gaze_err	efrc_err_cursor	efrc_err_hand	efrc_err_none	efrc_err_cog	efrc_err_bbox	efrc_err_random
7	1	sphere	none	L	middle	sym	random	0.1357899754315454	0.15522245360977718	0.14952604449790285	0.2871876478782621	0.1420304274637036	0.4300022946668773	0.16076691878665678	0.5052596565213086	0.13572847963569482	0.19109591407404186	0.16808044902358407	0.32369673218321837			0.2871876478782621			0.2871876478782621
7	2	oben_asym	cursor	L	high	asym	cog	0.027023892001841417	0.10122440404656724	0.031196932970449863	0.10931568661574892	0.11244177858789425	0.3932993704995572	0.13392374835170118	0.4304220240414363	0.006375943788472778	0.19439126443534194	0.021437702142826653	0.19567368607232133	0.10931568661574892			0.10931568661574892		
7	2	oben_asym	cursor	L	high	asym	bbox	0.00729665613692727	0.14668794928603052	0.03145479721129234	0.15019986659156906	0.0927145427229801	0.4387629157390205	0.13418161259254366	0.4680957036953806	0.026103179653386925	0.2398548096748052	0.021695566383669124	0.24224451141947925	0.15019986659156906				0.15019986659156906	
7	2	oben_asym	cursor	L	high	asym	random	0.13016175417558298	0.18672534747051667	0.14880633966813733	0.3055970007577671	0.1489767272584665	0.4350770861548899	0.17229537395533362	0.5205511733704005	0.13112152497764928	0.24096665199246003	0.1477433193934728	0.3480139021952616	0.3055970007577671					0.3055970007577671
7	2	mitte_sym	cursor	L	middle	sym	cog	0.0135511912408497	0.02038872711785944	0.009775674977629668	0.026360933192906378	0.035474287657207115	0.49467633122837557	0.009423757532629884	0.49603619320407016	0.0442228033594516	0.13698050347012108	0.04535344400671374	0.15091802261879358	0.026360933192906378			0.026360933192906378		
7	2	mitte_sym	cursor	L	middle	sym	bbox	0.013551250747254658	0.03307120887042131	0.009775692181217635	0.03705273823333335	0.03547434716361208	0.5073588129809374	0.009423740329041917	0.5086847759643486	0.044222743853046635	0.14966298522268295	0.04535346121030171	0.1625164504393679	0.03705273823333335				0.03705273823333335	
7	2	mitte_sym	cursor	L	middle	sym	random	0.14854705060378898	0.16282544921802838	0.1638325613428472	0.30339500572126743	0.15442590885016017	0.5151797147769251	0.16285167359575867	0.583578015667715	0.14171637333960552	0.19196690512508674	0.16948398585232233	0.3349441594705847	0.30339500572126743					0.30339500572126743
7	2	mitte_asym	cursor	L	middle	asym	cog	0.01380259969620947	0.023644879017617748	0.008333140889150206	0.028618757820877007	0.09685924011836874	0.46170980926202465	0.06402722233434406	0.47608522930766767	0.01717518208636671	0.10688492531167398	0.013760091110241998	0.10912705551761276	0.028618757820877007			0.028618757820877007		
7	2	mitte_asym	cursor	L	middle	asym	bbox	0.0008562700508530224	0.037884125693839255	0.008332606158264363	0.03879913018838624	0.11151810986543123	0.47594905593824616	0.06402775706522991	0.49301454983729465	0.0025163123393042164	0.12112417198789549	0.013760625841127841	0.12192928971777756	0.03879913018838624				0.03879913018838624	
7	2	mitte_asym	cursor	L	middle	asym	random	0.14565075719182816	0.131624443034022	0.1466407559973153	0.2763064963433059	0.16763134971463653	0.4696780151398597	0.15900970433026518	0.5451395288107247	0.14588284926204254	0.15316083529618185	0.14861769509136297	0.2942798831868066	0.2763064963433059					0.2763064963433059
7	2	unten_sym	cursor	L	low	sym	cog	0.011229406662938389	0.017741190231996773	0.004291590999281928	0.02143051931602826	0.06810539735372843	0.5403572810381654	0.07768442622274271	0.5501447140500624	0.003554514013323963	0.12712537767717347	0.010340326930900994	0.12759474354562114	0.02143051931602826			0.02143051931602826		
7	2	unten_sym	cursor	L	low	sym	bbox	0.01122941620988129	0.09910352178455217	0.00429156803872488	0.09982998234371755	0.06810538780678553	0.45899494948561	0.07768444918329977	0.47047803471206073	0.0035545044663810614	0.04576304612461807	0.010340349891458041	0.0470511820094163	0.09982998234371755				0.09982998234371755	
7	2	unten_sym	cursor	L	low	sym	random	0.14639087614662927	0.15582110890172288	0.1490712451018611	0.2953357923235878	0.15472085676095707	0.48973849153376037	0.14427373153416326	0.555494215971914	0.14698223297367974	0.17232100053689586	0.14675749305433514	0.2990940288556309	0.2953357923235878					0.2953357923235878
7	2	unten_asym	cursor	L	low	asym	cog	0.0004292944750080435	0.017677347347139855	0.02209127296490682	0.028296594215342027	0.083036462992678	0.5557658917407168	0.01123233448794837	0.5620471029608974	0.028008477780914517	0.1370681243751646	0.014292853974512227	0.14062869985200854	0.028296594215342027			0.028296594215342027		
7	2	unten_asym	cursor	L	low	asym	bbox	0.02677369318887514	0.10118695543991235	0.02338563313361586	0.10724979456964427	0.11023945065656118	0.47225628364794425	0.012526694656657409	0.4851140608197716	0.0552114654447977	0.05355851628239211	0.012998493805803188	0.07801141854980496	0.10724979456964427				0.10724979456964427	
7	2	unten_asym	cursor	L	low	asym	random	0.1458138577928287	0.1830489751305825	0.14981626701706766	0.30767364154384563	0.17088447084528544	0.4887962913619993	0.151553697173381	0.5647566128693843	0.15238369671684926	0.17754360399539607	0.15633105206996034	0.3127769385347357	0.30767364154384563					0.30767364154384563
7	2	oben_sym	cursor	L	high	sym	cog	0.007803020954127009	0.10080008874085755	0.006712819508837034	0.10132426645149485	0.03212748815742063	0.43099451585360626	0.07594479477364692	0.4388121010687844	0.0067065806367805235	0.1885582507075425	7.064566263671052e-05	0.18867749501341102	0.10132426645149485			0.10132426645149485		
7	2	oben_sym	cursor	L	high	sym	bbox	0.009118917381768281	0.14166929859044386	0.006518135564774421	0.14211203646617915	0.033443384585061894	0.47186372570319257	0.07613947871770954	0.4791357384149158	0.008022477064421794	0.22942746055712882	0.00026532960669932307	0.229567833538896	0.14211203646617915				0.14211203646617915	
7	2	oben_sym	cursor	L	high	sym	random	0.13275505239530677	0.17291125064445848	0.12603467306265642	0.28338345522798125	0.13255216652995253	0.4601662099089522	0.1416268927980557	0.5184944523509688	0.13279891000800065	0.22539402262534722	0.12665466359644864	0.3258824231131392	0.28338345522798125					0.28338345522798125
7	2	sphere	cursor	L	middle	sym	cog	0.021308365186806955	0.0007217702679692128	0.011564360939048491	0.024254933996666356	0.012460579855076339	0.4591731031612955	0.18013432780258726	0.49340002104781916	0.006610633659823966	0.1268901716239882	0.00547966633011779	0.12718035569709263	0.024254933996666356			0.024254933996666356		
7	2	sphere	cursor	L	middle	sym	bbox	0.02130837110285896	0.0007217738409340813	0.011564332602833618	0.024254925790106473	0.012460585771128345	0.4591731067342604	0.18013435613880213	0.49340003486754325	0.00661062774377196	0.12689017519695306	0.005479637993902917	0.12718035773351322	0.024254925790106473				0.024254925790106473	
7	2	sphere	cursor	L	middle	sym	random	0.1356012765968148	0.15522245360977718	0.15061904528218614	0.28610182162569725	0.13563048312208278	0.4744866382120946	0.2107444223345204	0.5692484202938523	0.13789062783341455	0.1899358356481373	0.15123552477920024	0.31218645256387584	0.28610182162569725					0.28610182162569725
7	3	oben_asym	hand	L	high	asym	cog	0.007563163858654734	0.05987254785934598	0.03516684475078936	0.06984719324674869	0.00034413403543188774	0.42456135968914543	0.004679112192580845	0.42458728273494134	0.00018492713114338054	0.14599466236269115	0.008080136416439652	0.146218207624592		0.06984719324674869		0.06984719324674869		
7	3	oben_asym	hand	L	high	asym	bbox	0.012164072006259415	0.10533609309880926	0.035424708991631824	0.11179699085501486	0.01938310182948226	0.4700249049286087	0.0049369764334233155	0.4704503051609	0.01991216299605753	0.19145820760215443	0.008338000657282123	0.19267138279560894		0.11179699085501486			0.11179699085501486	
7	3	oben_asym	hand	L	high	asym	random	0.12986543391540187	0.17618630600813642	0.1492827290817781	0.29482070712523106	0.1304495171952588	0.46633907534447805	0.1462566350821911	0.5234127050933519	0.13050242331191633	0.207638821060519	0.1465287170200998	0.3219953702410843		0.29482070712523106				0.29482070712523106
7	3	mitte_sym	hand	L	middle	sym	cog	0.017771263370879937	0.0046529074396526315	0.04251476729878474	0.046313850929381485	0.004500824992264155	0.4572467357882915	0.021422489622019873	0.45777042049073485	0.009186774986161111	0.14828403199793538	0.05935402558200902	0.15998578478415157		0.046313850929381485		0.046313850929381485		
7	3	mitte_sym	hand	L	middle	sym	bbox	0.017771322877284897	0.008029574312909238	0.04251475009519677	0.046773902511040015	0.004500765485859195	0.4699292175408534	0.021422472418431905	0.4704387831727268	0.009186715479756153	0.16096651375049725	0.05935404278559699	0.17180662584804315		0.046773902511040015			0.046773902511040015	
7	3	mitte_sym	hand	L	middle	sym	random	0.14952754196485377	0.16095370050334368	0.16268615456420424	0.3005333758986783	0.14502440186543233	0.47775011933684114	0.16237172431218305	0.5471579257657271	0.14427464986640884	0.19745941456960836	0.17323033712560715	0.34311979978338847		0.3005333758986783				0.3005333758986783
7	3	mitte_asym	hand	L	middle	asym	cog	0.01756980067882582	0.008738822641150945	0.046313145770743754	0.050298830883324916	0.04640049624192775	0.47407353775438343	0.03250561120373482	0.47744668813406	0.021997084716920398	0.10663937541338436	0.04895201080247975	0.11938227458968184		0.050298830883324916		0.050298830883324916		
7	3	mitte_asym	hand	L	middle	asym	bbox	0.03222867042588831	0.005500424035070561	0.046313680501629595	0.056691259146301694	0.031741626494865255	0.48831278443060494	0.03250614593462066	0.4904218141706513	0.03665595446398289	0.12087862208960587	0.048952545533365595	0.13546826931109576		0.056691259146301694			0.056691259146301694	
7	3	mitte_asym	hand	L	middle	asym	random	0.14580998138409443	0.13302878194601317	0.1544229385713592	0.2805642108866543	0.14970013704955484	0.4820417436322185	0.15155269839096758	0.545119369043514	0.14627391618662858	0.15303314934907125	0.15505626617897583	0.2984492872870748		0.2805642108866543				0.2805642108866543
7	3	unten_sym	hand	L	low	sym	cog	0.0010051118085811009	0.041623886029277274	0.003429333698040544	0.0417770088390556	0.0066560193992219446	0.5392695330235359	0.08196115775499753	0.545503036858829	0.003135373983848114	0.09927144057045045	0.004639607140451568	0.09942924839989889		0.0417770088390556		0.0417770088390556		
7	3	unten_sym	hand	L	low	sym	bbox	0.0010051213555240023	0.12298621758183267	0.003429356658597591	0.12303812608747373	0.006656028946164846	0.45790720147098046	0.08196113479444048	0.46523213076604	0.0031353644369052124	0.017909109017895053	0.004639584179894521	0.018764126340690294		0.12303812608747373			0.12303812608747373	
7	3	unten_sym	hand	L	low	sym	random	0.14679984794080353	0.16040516377086636	0.14765303197136612	0.29836425963351837	0.14657381163717792	0.48865074351913085	0.17448702787036424	0.5598721322742081	0.1469654673725007	0.16447046141367203	0.14914431246392365	0.29569941220229373		0.29836425963351837				0.29836425963351837
7	3	unten_asym	hand	L	low	asym	cog	0.01904134949597329	0.013211514752500458	0.04543785334068655	0.051007015487019816	0.02351489847563315	0.52984693368769	0.06794615307295711	0.5347030982760249	0.01461495394390043	0.12128630719837549	0.03707318310095177	0.12766513266290735		0.051007015487019816		0.051007015487019816		
7	3	unten_asym	hand	L	low	asym	bbox	0.008161638167909893	0.09672112284527296	0.04414349317197751	0.1066313084017011	0.05071788613951633	0.44633732559491746	0.06665179290424807	0.4541274861655426	0.012588033719982752	0.037776699105602995	0.03577882293224273	0.053531876098895204		0.1066313084017011			0.1066313084017011	
7	3	unten_asym	hand	L	low	asym	random	0.14293231073073712	0.18206649195976188	0.16522173689761846	0.3146352405129697	0.15113543315516678	0.4628773333089725	0.17290254848472164	0.542211978905189	0.14355200610802732	0.1752472796704248	0.16265544257240386	0.30931612845231365		0.3146352405129697				0.3146352405129697
7	3	oben_sym	hand	L	high	sym	cog	0.002568379039260089	0.05345084910427411	0.055214568501335666	0.07689108150914434	0.07484084188289812	0.42135010916165483	0.06294092849606708	0.43254898749647586	0.0158070211310887	0.13734614021175007	0.026198131669243754	0.14071306354089314		0.07689108150914434		0.07689108150914434		
7	3	oben_sym	hand	L	high	sym	bbox	0.001252482611618817	0.09432005895386042	0.05540925244539828	0.10939848029250675	0.07352494545525684	0.46221931901124114	0.06313561244012969	0.4722697555736597	0.017122917558729973	0.17821535006133638	0.026392815613306364	0.18097095352350254		0.10939848029250675			0.10939848029250675	
7	3	oben_sym	hand	L	high	sym	random	0.13335356873368173	0.15794043030183325	0.13580584897647474	0.2745105579575926	0.14710552170603136	0.4505218032170006	0.13780923368470724	0.512312760412623	0.13254845936934095	0.1911738707568546	0.12990579822296108	0.30041243121242944		0.2745105579575926				0.2745105579575926
7	3	sphere	hand	L	middle	sym	cog	0.0019073190351523144	0.03129057232191257	0.009022521651118774	0.0326212151686537	0.015186491467438373	0.4852054346522698	0.03704770545857125	0.4868546762833173	0.013785495480578298	0.11021004987922495	0.010320294773731581	0.11154731491274457		0.0326212151686537		0.0326212151686537		
7	3	sphere	hand	L	middle	sym	bbox	0.0019073249512043208	0.0312905687489477	0.009022549987333647	0.03262121992470612	0.015186485551386367	0.48520543822523465	0.037047733794786125	0.4868546818159129	0.013785489564526292	0.11021005345218982	0.010320266437516708	0.11154731509009767		0.03262121992470612			0.03262121992470612	
7	3	sphere	hand	L	middle	sym	random	0.13664457574697406	0.15577590398789465	0.15297578733694864	0.2872741850216655	0.13931948538201566	0.5005189697030688	0.1573073738982182	0.56111312449314	0.13906730610438087	0.18192937721065097	0.15074345189871782	0.3071215772772761		0.2872741850216655				0.2872741850216655
8	1	oben_asym	hand	L	high	asym	cog	0.018702811032006043	0.017911718097157414	0.017757320713385063	0.03139979656954767	0.0032916232272228894	0.49776641058073223	0.04505855361249033	0.49981247237293486	0.01878368542495674	0.11813458957447592	0.02268814342935882	0.12175122153122228		0.03139979656954767		0.03139979656954767		
8	1	oben_asym	hand	L	high	asym	bbox	0.03843004689692019	0.027551827142305862	0.018015184954227534	0.05060156689583845	0.023018859092137037	0.5432299558201955	0.0453164178533328	0.5456026305850926	0.03851092128987089	0.1635981348139392	0.02243027918851635	0.1695598956052676		0.05060156689583845			0.05060156689583845	
8	1	oben_asym	hand	L	high	asym	random	0.13251874201707267	0.17023366649943714	0.14737528125052868	0.28701196883101787	0.13081309292152432	0.539544126236065	0.15061394209039347	0.589861019744311	0.13253006443208576	0.19343688182279134	0.14614102391030528	0.31279019646351575		0.28701196883101787				0.28701196883101787
8	1	mitte_sym	hand	L	middle	sym	cog	0.0039737568684294145	0.09000297886364636	0.005844891225565391	0.09028006259090683	0.027972410523634306	0.5320585349407052	0.1196243539275513	0.5460574387427906	0.014951783185066141	0.03643705866748076	0.017743275486398074	0.04319767227220555		0.09028006259090683		0.09028006259090683		
8	1	mitte_sym	hand	L	middle	sym	bbox	0.003973816374834374	0.07732049711108449	0.005844874021977423	0.07764285570752091	0.027972470030039265	0.5447410166932671	0.11962433672396333	0.558422077181986	0.014951723678661183	0.04911954042004263	0.01774329268998604	0.0543240989572929		0.07764285570752091			0.07764285570752091	
8	1	mitte_sym	hand	L	middle	sym	random	0.14661069310192643	0.16607323701369958	0.16299482824804123	0.3016751513030213	0.15209576148272771	0.552561918489255	0.17516924926717534	0.6222397289931911	0.14353280384339898	0.16491626821619612	0.16476589043581058	0.30355444301236784		0.3016751513030213				0.3016751513030213
8	1	mitte_asym	hand	L	middle	asym	cog	0.026729243221324465	0.06853480603426346	0.02938093987178207	0.07921307789177308	0.07153246209623812	0.548822130467497	0.06652423959137553	0.5574478437285795	0.012352748673389487	0.0552941545731393	0.02722617221299425	0.06285935398266329		0.07921307789177308		0.07921307789177308		
8	1	mitte_asym	hand	L	middle	asym	bbox	0.04138811296838696	0.05429555935804195	0.029380405140896227	0.07432490744918435	0.0861913318433006	0.5630613771437185	0.06652477432226138	0.5734915916685532	0.02701161842045198	0.0695334012493608	0.02722563748210841	0.07940879520118599		0.07432490744918435			0.07432490744918435	
8	1	mitte_asym	hand	L	middle	asym	random	0.14688123652780916	0.1431603326790124	0.14596689985973468	0.2829358610070839	0.15844429560248438	0.556790336345332	0.159708869162234	0.6180486773047024	0.14551841638170449	0.135231937705786	0.14592380450655895	0.28144731111434534		0.2829358610070839				0.2829358610070839
8	1	unten_sym	hand	L	low	sym	cog	0.05483471991339686	0.20914378606249753	0.03437045507416798	0.21892760889970414	0.003000928463979792	0.6030510296798672	0.042483549266886106	0.604553059646468	0.014446170310165742	0.0070884907343543024	0.03444859428888536	0.03802162787153604		0.21892760889970414		0.21892760889970414		
