ppid	session	object	feedback	eye	vertical	symmetry	efrc3d_X	efrc3d_Y	efrc3d_Z	first_gaze3d_X	first_gaze3d_Y	first_gaze3d_Z	final_gaze3d_X	final_gaze3d_Y	final_gaze3d_Z
11	1	unten_asym	cursor	L	low	asym	0.09392968374123382	0.2503570485808426	0.017290933029014664	0.08135285454922521	0.524229762873681	0.04475305465723401	0.060105107956512985	0.3776214487246254	0.034593274490312624
11	1	oben_sym	cursor	L	high	sym	0.023757779353046418	0.3709443267400867	0.051524030608506806	-0.026549997437293606	0.44715823540611793	0.1166687892544304	-0.009253969987138592	0.45645031954212784	0.00802282087790511
12	2	oben_asym	cursor	L	high	asym	0.018985719961739422	0.3614044920732288	0.01303706527465239	-0.0034547500206621724	0.7223398429628128	0.018251964767397842	0.000367511267182266	0.39992611776849435	-0.007887091807989724
12	2	mitte_sym	cursor	L	middle	sym	-0.00805098468194867	0.3561857686999523	-0.00483402441350498	0.007980115308779531	0.7211129310137325	-0.008289706855505655	0.009560997365225888	0.3291830574773836	-0.01570745827243626
12	2	mitte_asym	cursor	L	middle	asym	-0.003444812291638899	0.3016380961502867	0.009132230078193644	0.03468910973563461	0.7128438421956185	-0.008938655587779601	-0.03186142161326735	0.3056023016753266	0.003333187702962264
12	2	unten_sym	cursor	L	low	sym	0.00706601045098335	0.23553086469951565	0.018712242176106845	-0.005420346276956929	0.7382158228693446	-0.013937815219558095	0.010297581796819923	0.2658114692835362	0.01624884819922514
12	2	unten_asym	cursor	L	low	asym	0.06439215531646143	0.23647329802470357	-0.0004805815785045722	-0.003526452764236669	0.7568059871104845	0.004441322683133607	0.03352711703770184	0.22974443668678157	0.011588413893025
12	2	oben_sym	cursor	L	high	sym	-0.008423384185556531	0.37969706487659555	0.022810013343311782	-0.004883872019582617	0.7244274509271674	-0.016172236358205194	0.00019913709845981233	0.37000188339707857	0.029461867226044644
13	2	oben_asym	cursor	L	high	asym	0.013957484886306624	0.45586323054240185	0.008112132423652269	0.011926612460707755	0.8577881907963582	-0.02045265666931855	0.011936367227641551	0.5070243208524725	0.003757529382146775
13	2	mitte_sym	cursor	L	middle	sym	0.003397754819045142	0.3333017501688186	-0.005117062511323312	-0.001067082674412785	0.8502464402584035	-0.037497512078556165	0.011323574482421142	0.3991720107204702	-0.0017210001921558963
13	2	mitte_asym	cursor	L	middle	asym	-0.04802487415963675	0.3303707953705628	-0.010163214473221459	-0.015297362417304887	0.8609215215507409	-0.061567581434088435	-0.02580640952152322	0.39415743095352923	0.001160922282947891
13	2	unten_sym	cursor	L	low	sym	0.0019251445786554427	0.19500342846676047	-0.022215492933284064	0.012799727313487694	0.8460019999596208	-0.05576307871198028	0.005048413385510183	0.29250411747858046	-0.0002771805316314078
13	2	unten_asym	cursor	L	low	asym	0.057868065539342886	0.22014800909374369	-0.0054871786808801185	0.014472882791743056	0.8428104738241341	-0.03803050213615205	0.04934778257724444	0.28678036379498134	0.010092120758936136
13	2	oben_sym	cursor	L	high	sym	-0.0016433016988545576	0.43557591728197714	-0.0072978088971776805	-0.007694747347763989	0.8581339133041901	-0.03142353956052638	-0.0022970909099406874	0.505769902852041	0.01259843268486241
