ppid	session	trial	feedback	variable	value
12	3	5	hand	point_err	0.6550206311095499
12	3	6	hand	point_err	0.47129442041691016
12	3	7	hand	point_err	0.4933709288099229
12	3	8	hand	point_err	0.31446014877011114
12	3	9	hand	point_err	0.49056937868386863
12	3	10	hand	point_err	0.48935524583163653
12	3	11	hand	point_err	0.5436709411654398
12	3	12	hand	point_err	0.5219684137654707
12	3	13	hand	point_err	0.4429755731062466
12	3	14	hand	point_err	0.4435071597282487
12	3	15	hand	point_err	0.45289974663792026
12	3	16	hand	point_err	0.5676084100365636
12	3	17	hand	point_err	0.5100401558998413
13	1	0	hand	point_err	0.2596908657727767
13	1	1	hand	point_err	0.18439955918626638
13	1	2	hand	point_err	0.2688179191263085
13	1	3	hand	point_err	0.17910739013248303
13	1	4	hand	point_err	0.1932240972431852
13	1	5	hand	point_err	0.24040664094826444
13	1	6	hand	point_err	0.23708401087766295
13	1	7	hand	point_err	0.29845472387599126
13	1	8	hand	point_err	0.2635592685713713
13	1	9	hand	point_err	0.20919819350702418
13	1	10	hand	point_err	0.2206265990560579
13	1	11	hand	point_err	0.19253448601683393
13	1	12	hand	point_err	0.24750006474063013
13	1	13	hand	point_err	0.2212742588736811
13	1	14	hand	point_err	0.22157262455124568
13	1	15	hand	point_err	0.21905080471036942
13	1	16	hand	point_err	0.2702642517033503
13	1	17	hand	point_err	0.18245848978956702
13	2	0	cursor	point_err	0.13263543613283382
13	2	1	cursor	point_err	0.19336313541741446
13	2	2	cursor	point_err	0.11913987143944713
13	2	3	cursor	point_err	0.15548066386094475
13	2	4	cursor	point_err	0.14275530691360472
13	2	5	cursor	point_err	0.16307271732746564
13	2	6	cursor	point_err	0.17030563505114996
13	2	7	cursor	point_err	0.17474914275819886
13	2	8	cursor	point_err	0.1584016339814329
13	2	9	cursor	point_err	0.16347189962514982
13	2	10	cursor	point_err	0.08811819295983794
13	2	11	cursor	point_err	0.16189137991176672
13	2	12	cursor	point_err	0.10436818065730852
13	2	13	cursor	point_err	0.12109916424971856
13	2	14	cursor	point_err	0.16408667050057324
13	2	15	cursor	point_err	0.141527048672026
13	2	16	cursor	point_err	0.16339931494579524
13	2	17	cursor	point_err	0.1970246504197335
13	3	0	none	point_err	0.22105800417700053
13	3	1	none	point_err	0.43305688144624677
13	3	2	none	point_err	0.6196794026927283
13	3	3	none	point_err	0.35021718388811135
13	3	4	none	point_err	0.7079815360887931
13	3	5	none	point_err	
13	3	6	none	point_err	0.8598068693425314
13	3	7	none	point_err	0.6354943639592652
13	3	10	none	point_err	0.6226138883459182
13	3	12	none	point_err	0.7022305341374209
13	3	13	none	point_err	
13	3	14	none	point_err	0.6506256596333749
13	3	15	none	point_err	0.8458172028412455
13	3	17	none	point_err	0.7046743365301771
14	1	0	hand	point_err	0.3132970652084563
14	1	1	hand	point_err	0.3082588989533719
14	1	2	hand	point_err	0.34396933627381343
14	1	3	hand	point_err	0.31016071339046347
14	1	4	hand	point_err	0.3621783807953895
14	1	6	hand	point_err	0.3228872735288742
14	1	7	hand	point_err	0.4176890173907292
14	1	8	hand	point_err	0.38786403559785926
14	1	9	hand	point_err	0.42092488245992393
14	1	10	hand	point_err	0.3688607477811802
14	1	11	hand	point_err	0.3074792703019615
14	1	12	hand	point_err	0.40084401750302284
14	1	13	hand	point_err	0.403719321608932
14	1	14	hand	point_err	0.44302887428120713
14	1	15	hand	point_err	0.4451579106693647
14	1	16	hand	point_err	0.4221475175984087
14	1	17	hand	point_err	0.2998984068246495
14	2	0	none	point_err	0.5742698126442223
14	2	1	none	point_err	0.4285732917956666
14	2	2	none	point_err	0.3336275190935914
14	2	3	none	point_err	0.30153259476635624
14	2	4	none	point_err	0.31574994724969774
14	2	5	none	point_err	0.5151749102865637
14	2	6	none	point_err	0.617272265884342
14	2	7	none	point_err	0.8764847244895312
14	2	8	none	point_err	0.3400291167661456
14	2	9	none	point_err	0.4394521005042009
14	2	10	none	point_err	0.6314399038036475
14	2	13	none	point_err	0.4337895355576873
14	2	14	none	point_err	0.747987970263997
14	2	15	none	point_err	0.2783815956526088
14	2	16	none	point_err	0.43302246944126954
14	2	17	none	point_err	0.5429460973231639
14	3	0	cursor	point_err	0.537311558990142
14	3	1	cursor	point_err	0.32823194558651786
