ppid	session	trial	feedback	variable	error_m	error_deg	error_m_schwind
15	1	10	cursor	point_errD	0.0212258786414906	0.34746810099125036	0.0121290735094232
15	1	11	cursor	point_errD	0.030538048500579697	0.49990197001348413	0.017450313428902683
15	1	12	cursor	point_errD	0.02508759545412113	0.4106824917140282	0.014335768830926363
15	1	13	cursor	point_errD	0.017133540389307176	0.2804776316862629	0.009790594508175529
15	1	15	cursor	point_errD	0.020414448224272744	0.33418527442756685	0.011665398985298711
15	1	16	cursor	point_errD	0.03779573470033426	0.6187005459347786	0.021597562685905295
15	1	17	cursor	point_errD	0.030063348240389174	0.49213160342746043	0.017179056137365242
15	2	0	hand	point_errD	0.23961615679844267	3.916458652486522	0.13692351817053866
15	2	1	hand	point_errD	0.0889542283348135	1.4558871080682436	0.05083098761989343
15	2	2	hand	point_errD	0.1079652169151868	1.766854372048057	0.061694409665821036
15	2	3	hand	point_errD	0.13289550193872934	2.1744843586802363	0.07594028682213105
15	2	4	hand	point_errD	0.0993189312110201	1.6254368261120329	0.05675367497772578
15	2	5	hand	point_errD	0.0803672760929359	1.3153990568955052	0.04592415776739195
15	2	6	hand	point_errD	0.10081507769339453	1.6499090727512695	0.05760861582479688
15	2	8	hand	point_errD	0.10985779610554226	1.7978063432564557	0.06277588348888129
15	2	9	hand	point_errD	0.09193984172840175	1.5047296438088977	0.05253705241622957
15	2	10	hand	point_errD	0.14081987018601103	2.3040099345553795	0.08046849724914916
15	2	11	hand	point_errD	0.0956210978916031	1.5649493873277078	0.05464062736663035
15	2	12	hand	point_errD	0.14225543594103368	2.3274720967672122	0.08128882053773354
15	2	13	hand	point_errD	0.1396815964646266	2.2854060133744873	0.07981805512264377
15	2	14	hand	point_errD	0.1367127252205016	2.236880586712422	0.07812155726885806
15	2	15	hand	point_errD	0.19231544318987462	3.1450839664466144	0.10989453896564264
15	2	16	hand	point_errD	0.16885711926577796	2.762086995228113	0.0964897824375874
15	2	17	hand	point_errD	0.16552144185455592	2.707605533889781	0.09458368105974624
15	3	1	none	point_errD	0.19825642486905182	3.242037302405936	0.11328938563945819
15	3	2	none	point_errD	0.16956184268843597	2.7735965733081844	0.09689248153624912
15	3	3	none	point_errD	0.22106997801698952	3.614163588756138	0.126325701723994
15	3	4	none	point_errD	0.31582514076652074	5.15616348019191	0.18047150900944042
15	3	5	none	point_errD	0.25938865446246817	4.238501462388689	0.14822208826426753
15	3	6	none	point_errD	0.22894592828773638	3.742563923962408	0.13082624473584936
15	3	7	none	point_errD	0.1952146755733676	3.1924000251046527	0.11155124318478149
15	3	8	none	point_errD	0.43590249797837805	7.099265770400875	0.2490871417019303
15	3	9	none	point_errD	0.35600417413724383	5.80789302046475	0.20343095664985367
15	3	10	none	point_errD	0.26895216838329794	4.39417139747169	0.15368695336188454
15	3	11	none	point_errD	0.2837069606818332	4.634214027121693	0.16211826324676182
15	3	12	none	point_errD	0.3187926547910388	5.2043463195426245	0.182167231309165
15	3	13	none	point_errD	0.4125260400960794	6.7221295616994965	0.23572916576918823
15	3	14	none	point_errD	0.23436994928063642	3.8309690487539783	0.13392568530322083
