ppid	session	feedback	occluded	obj_scale	age	gender	gaze_acc	gaze_rms	gaze_sd	ipd	wrist_cal_x	wrist_cal_y	wrist_cal_z	data_file	in_file
15	1	cursor	no	0.6	25	female	0.8382833550091494	0.18092931092338588	0.5763417580396	59.62399338250575	-0.01487488579005003	0.21307438611984253	-0.02128870878368616	VRpoint_15_1_20210416_113837_all.	trials_cursor_visible.tsv
15	2	hand	no	0.6	25	female	0.9589101773110243	0.34321709297115294	0.8013293418449747	59.51667464112643	-0.01487488579005003	0.21307438611984253	-0.02128870878368616	VRpoint_15_2_20210416_114435_all.	trials_hand_visible.tsv
15	3	none	no	0.6	25	female	0.920792971307957	1.0194782386217445	1.8458363429579356	59.855926617609796	-0.01487488579005003	0.21307438611984253	-0.02128870878368616	VRpoint_15_3_20210416_115033_all.	trials_nofb_visible.tsv
16	1	cursor	no	0.6	24	female	0.8128783108724724	0.1478167300444875	0.3640543776102485	57.07156199105778	-0.04773373529314995	0.194105364382267	-0.006618120474740863	VRpoint_16_1_20210416_125045_all.	trials_cursor_visible.tsv
16	2	none	no	0.6	24	female	0.6591218574799248	0.08241055050552082	0.23303117392470596	57.029910015393476	-0.04773373529314995	0.194105364382267	-0.006618120474740863	VRpoint_16_2_20210416_125729_all.	trials_nofb_visible.tsv
16	3	hand	no	0.6	24	female	0.6622407914023675	0.11267699453580474	0.24290380273540774	57.04625567988209	-0.04773373529314995	0.194105364382267	-0.006618120474740863	VRpoint_16_3_20210416_130348_all.	trials_hand_visible.tsv
18	1	none	no	0.6	21	female	1.2287128722779719	0.15619087990185637	0.3417544449217135	64.78182835192044	0.012021338567137718	0.21204597502946854	-0.058758221566677094	VRpoint_18_1_20210419_142216_all.	trials_nofb_visible.tsv
18	2	cursor	no	0.6	21	female	0.6271954936034031	0.11677321471691009	0.3058821875258467	64.65641277963701	0.012021338567137718	0.21204597502946854	-0.058758221566677094	VRpoint_18_2_20210419_142932_all.	trials_cursor_visible.tsv
18	3	hand	no	0.6	21	female	0.6814049056806601	0.08668331461737053	0.27379178591652736	64.67915760434191	0.012021338567137718	0.21204597502946854	-0.058758221566677094	VRpoint_18_3_20210419_143542_all.	trials_hand_visible.tsv
19	1	hand	no	0.6	20	female	0.6090535239855236	0.1988894046449407	0.556532671250437	57.18771668139451	0.0142133180052042	0.18805240094661713	-0.02550598792731762	VRpoint_19_1_20210419_152222_all.	trials_hand_visible.tsv
19	2	cursor	no	0.6	20	female	0.3834439939973385	0.14583892674028545	0.2940489216038957	57.2082344650852	0.0142133180052042	0.18805240094661713	-0.02550598792731762	VRpoint_19_2_20210419_152823_all.	trials_cursor_visible.tsv
19	3	none	no	0.6	20	female	0.44359304626686047	0.05920959300799404	0.23238090494221045	58.0657859743567	0.0142133180052042	0.18805240094661713	-0.02550598792731762	VRpoint_19_3_20210419_155118_all.	trials_nofb_visible.tsv
1	1	none	no	0.6	36	male	1.3230049084066309	0.14415316560332286	0.30433844687396555	60.00549509797408	-0.0296428045257926	0.1940571740269661	-0.00496312152245082	VRpoint_1_1_20210407_123657_all.	trials_nofb_visible.tsv
1	2	hand	no	0.6	36	male	0.9471183436597996	0.08489500190854364	0.25072101756357823	60.02934620834958	-0.0296428045257926	0.1940571740269661	-0.00496312152245082	VRpoint_1_2_20210407_124644_all.	trials_hand_visible.tsv
1	3	cursor	no	0.6	36	male	0.9786638457092728	0.056996506250288445	0.16505071541848268	59.921688998337856	-0.0296428045257926	0.1940571740269661	-0.00496312152245082	VRpoint_1_3_20210407_125251_all.	trials_cursor_visible.tsv
20	1	hand	no	0.6	23	female	0.6224025508339411	0.16135746821466904	0.5222980162337051	57.46997103835484	-0.004682289436459541	0.1990133598446846	-0.01894927304238081	VRpoint_20_1_20210420_093750_all.	trials_hand_visible.tsv
20	2	none	no	0.6	23	female	0.3836414982392246	0.09922104498777538	0.20663177471394173	57.89971100108594	-0.004682289436459541	0.1990133598446846	-0.01894927304238081	VRpoint_20_2_20210420_094425_all.	trials_nofb_visible.tsv
20	3	cursor	no	0.6	23	female	0.4628677947218467	0.07244504739787565	0.16106760986151802	57.92840023681244	-0.004682289436459541	0.1990133598446846	-0.01894927304238081	VRpoint_20_3_20210420_095005_all.	trials_cursor_visible.tsv
21	1	cursor	no	0.6	21	female	0.5196653689021216	0.06541675727280441	0.16488760370603855	65.50666504075474	-0.018689853139221668	0.19073767960071564	0.008081034291535616	VRpoint_21_1_20210421_111507_all.	trials_cursor_visible.tsv
21	2	hand	no	0.6	21	female	0.4207080149281809	0.0731579684854159	0.1980513934229968	65.86928077921364	-0.018689853139221668	0.19073767960071564	0.008081034291535616	VRpoint_21_2_20210421_112041_all.	trials_hand_visible.tsv
21	3	none	no	0.6	21	female	0.6915059591197048	0.07194996095892772	0.20597615701756097	65.81500105513548	-0.018689853139221668	0.19073767960071564	0.008081034291535616	VRpoint_21_3_20210421_112618_all.	trials_nofb_visible.tsv
22	1	cursor	no	0.6	23	female	0.8572744699332457	0.24969363296198846	0.6317908932420866	62.8253117180574	0.028222191147506237	0.2108108326792717	-0.018735050223767757	VRpoint_22_1_20210421_133619_all.	trials_cursor_visible.tsv
22	2	none	no	0.6	23	female	1.2695602520197073	0.5619610694909597	1.203079827148891	62.99407246135037	0.028222191147506237	0.2108108326792717	-0.018735050223767757	VRpoint_22_2_20210421_134235_all.	trials_nofb_visible.tsv
22	3	hand	no	0.6	23	female	1.6734534317588388	0.7987860202872858	1.439210199363211	63.074141326620705	0.028222191147506237	0.2108108326792717	-0.018735050223767757	VRpoint_22_3_20210421_134852_all.	trials_hand_visible.tsv
23	1	none	no	0.6	23	male	0.6385308260062869	0.13369203201393373	0.3349341508539464	61.10743442955224	-0.00522420322522521	0.19399958103895187	-0.003580609627533704	VRpoint_23_1_20210429_102645_all.	trials_nofb_visible.tsv
23	2	cursor	no	0.6	23	male	1.0584423256974826	0.16867699765900146	0.4670450638323841	61.696905950489246	-0.00522420322522521	0.19399958103895187	-0.003580609627533704	VRpoint_23_2_20210429_103621_all.	trials_cursor_visible.tsv
23	3	hand	no	0.6	23	male	1.3426111312183948	0.09824506163978178	0.18804441280073436	61.992788053354865	-0.00522420322522521	0.19399958103895187	-0.003580609627533704	VRpoint_23_3_20210429_104342_all.	trials_hand_visible.tsv
24	1	none	no	0.6	22	female	0.42968780674682056	0.08912928402724203	0.21080801374969874	62.31885410567618	-0.015239669010043144	0.21384300291538239	-0.037118032574653625	VRpoint_24_1_20210429_132425_all.	trials_nofb_visible.tsv
24	2	hand	no	0.6	22	female	0.37037434499560673	0.09027899449083093	0.19312493028888425	62.36424937797999	-0.015239669010043144	0.21384300291538239	-0.037118032574653625	VRpoint_24_2_20210429_133001_all.	trials_hand_visible.tsv
24	3	cursor	no	0.6	22	female	0.4549751832037397	0.12231742067321616	0.25141320414346296	62.43135041748144	-0.015239669010043144	0.21384300291538239	-0.037118032574653625	VRpoint_24_3_20210429_133511_all.	trials_cursor_visible.tsv
25	1	cursor	no	0.6	36	female	0.6659995896062284	0.08809461602212539	0.2636486789752575	60.481533954232376	-0.01806038711220026	0.17614903301000595	-0.005274622235447168	VRpoint_25_1_20210429_161714_all.	trials_cursor_visible.tsv
25	2	hand	no	0.6	36	female	0.5043555426708484	0.09801726648970882	0.2484233550973788	60.55063965342801	-0.01806038711220026	0.17614903301000595	-0.005274622235447168	VRpoint_25_2_20210429_162256_all.	trials_hand_visible.tsv
25	3	none	no	0.6	36	female	0.6125371094543618	0.13861087240464584	0.38404702953894126	60.49032152994819	-0.01806038711220026	0.17614903301000595	-0.005274622235447168	VRpoint_25_3_20210429_162855_all.	trials_nofb_visible.tsv
2	1	hand	no	0.6	30	female	1.1436313803441418	0.2136216973327722	0.6107516970613402	56.25436751877669	-0.01470266655087471	0.18997348845005035	-0.04743380285799503	VRpoint_2_1_20210407_135527_all.	trials_hand_visible.tsv
2	2	cursor	no	0.6	30	female	1.486027607532542	0.18728286848858272	0.9716353262091196	56.33596550696385	-0.01470266655087471	0.18997348845005035	-0.04743380285799503	VRpoint_2_2_20210407_140246_all.	trials_cursor_visible.tsv
2	3	none	no	0.6	30	female	1.3825995798485047	0.3657133514311178	0.8889955235706528	56.266466250515876	-0.01470266655087471	0.18997348845005035	-0.04743380285799503	VRpoint_2_3_20210407_140958_all.	trials_nofb_visible.tsv
3	1	cursor	no	0.6	24	male	0.46342295439526604	0.12063450067840517	0.3651487954418692	64.74849496337568	0.004317281942348927	0.2197769209742546	-0.023557155393064022	VRpoint_3_1_20210408_103018_all.	trials_cursor_visible.tsv
3	2	hand	no	0.6	24	male	0.4866734178085901	0.16597698937330185	0.4960516884472875	65.01859111584122	0.004317281942348927	0.2197769209742546	-0.023557155393064022	VRpoint_3_2_20210408_103558_all.	trials_hand_visible.tsv
